source	target	weight	roles
e_1	u_30	1	candidate
e_1	u_32	1	nominator
e_1	u_3	1	voter
e_1	u_25	1	voter
e_1	u_4	1	voter
e_1	u_5	1	voter
e_1	u_6	1	voter
e_1	u_7	1	voter
e_1	u_8	1	voter
e_1	u_9	1	voter
e_1	u_10	1	voter
e_1	u_26	1	voter
e_1	u_27	1	voter
e_1	u_28	1	voter
e_1	u_11	1	voter
e_1	u_12	1	voter
e_1	u_13	1	voter
e_1	u_14	1	voter
e_1	u_29	1	voter
e_1	u_15	1	voter
e_1	u_16	1	voter
e_1	u_17	1	voter
e_1	u_18	1	voter
e_1	u_19	1	voter
e_1	u_20	1	voter
e_1	u_21	1	voter
e_1	u_22	1	voter
e_1	u_23	1	voter
e_1	u_24	1	voter
u_30	e_411	1	voter
u_30	e_1511	1	voter
u_30	e_1945	1	voter
u_30	e_2148	1	voter
u_30	e_2456	1	voter
u_32	e_26	1	voter
u_32	e_91	1	candidate
u_32	e_106	1	voter
u_32	e_110	1	voter
u_32	e_112	1	voter
u_3	e_2	1	voter
u_3	e_26	1	voter
u_3	e_29	1	voter
u_3	e_39	1	voter
u_3	e_42	1	voter
u_3	e_44	1	candidate
u_3	e_48	1	voter
u_3	e_50	1	voter
u_3	e_51	1	voter
u_3	e_85	1	voter
u_3	e_90	1	voter
u_3	e_91	1	voter
u_3	e_92	1	voter
u_3	e_120	1	voter
u_3	e_121	1	voter
u_3	e_122	1	voter
u_3	e_123	1	voter
u_3	e_125	1	nominator
u_3	e_126	1	voter
u_3	e_127	1	voter
u_3	e_128	1	voter
u_3	e_131	2	nominator,voter
u_3	e_133	1	voter
u_3	e_136	2	nominator,voter
u_3	e_142	1	voter
u_3	e_265	1	voter
u_25	e_2	1	voter
u_25	e_3	1	voter
u_25	e_4	1	voter
u_25	e_5	1	voter
u_25	e_6	1	voter
u_25	e_7	1	voter
u_25	e_9	1	voter
u_25	e_15	1	voter
u_25	e_21	1	voter
u_25	e_22	1	voter
u_25	e_24	1	voter
u_25	e_26	1	voter
u_25	e_29	1	voter
u_25	e_31	1	voter
u_25	e_32	1	voter
u_25	e_33	1	voter
u_25	e_34	1	voter
u_25	e_35	1	voter
u_25	e_38	1	voter
u_25	e_39	1	voter
u_25	e_40	1	voter
u_25	e_41	1	voter
u_25	e_42	1	voter
u_25	e_44	1	voter
u_25	e_45	1	voter
u_25	e_46	1	voter
u_25	e_47	1	voter
u_25	e_48	1	voter
u_25	e_50	1	voter
u_25	e_51	1	voter
u_25	e_52	1	voter
u_25	e_53	1	voter
u_25	e_55	1	voter
u_25	e_57	1	voter
u_25	e_58	1	voter
u_25	e_60	1	voter
u_25	e_61	1	voter
u_25	e_63	1	voter
u_25	e_72	1	voter
u_25	e_73	1	voter
u_25	e_77	1	voter
u_25	e_79	1	voter
u_25	e_86	1	voter
u_25	e_87	1	voter
u_25	e_88	1	voter
u_25	e_89	1	voter
u_25	e_93	1	voter
u_25	e_99	1	voter
u_25	e_100	1	voter
u_25	e_101	1	voter
u_25	e_104	1	voter
u_25	e_112	1	voter
u_25	e_113	1	voter
u_25	e_115	1	voter
u_25	e_118	1	voter
u_25	e_121	1	voter
u_25	e_122	1	voter
u_25	e_126	1	voter
u_25	e_131	1	voter
u_25	e_132	1	voter
u_25	e_134	1	voter
u_25	e_136	1	voter
u_25	e_138	1	voter
u_25	e_142	1	voter
u_25	e_148	1	voter
u_25	e_153	1	voter
u_25	e_154	1	voter
u_25	e_156	1	voter
u_25	e_157	1	voter
u_25	e_160	1	voter
u_25	e_163	1	voter
u_25	e_164	1	voter
u_25	e_168	1	voter
u_25	e_169	1	voter
u_25	e_174	1	voter
u_25	e_175	1	voter
u_25	e_177	1	voter
u_25	e_186	1	voter
u_25	e_188	1	voter
u_25	e_193	1	voter
u_25	e_198	1	voter
u_25	e_199	1	voter
u_25	e_200	1	voter
u_25	e_204	1	voter
u_25	e_206	1	voter
u_25	e_208	1	voter
u_25	e_210	1	voter
u_25	e_213	1	voter
u_25	e_225	1	voter
u_25	e_226	1	voter
u_25	e_228	1	voter
u_25	e_230	1	voter
u_25	e_244	1	voter
u_25	e_253	1	voter
u_25	e_254	1	voter
u_25	e_271	1	voter
u_25	e_311	1	voter
u_25	e_315	1	voter
u_25	e_322	1	voter
u_25	e_325	1	voter
u_25	e_330	1	voter
u_25	e_336	1	voter
u_25	e_342	1	voter
u_25	e_378	1	voter
u_25	e_392	1	voter
u_25	e_401	1	voter
u_25	e_405	1	voter
u_4	e_5	1	voter
u_4	e_6	1	voter
u_4	e_9	1	voter
u_4	e_11	1	voter
u_4	e_13	1	voter
u_4	e_26	1	voter
u_4	e_29	1	voter
u_4	e_41	1	voter
u_4	e_57	1	voter
u_4	e_58	1	voter
u_4	e_64	1	voter
u_4	e_72	1	voter
u_4	e_74	1	voter
u_4	e_83	1	voter
u_4	e_84	1	voter
u_4	e_86	1	voter
u_4	e_87	1	voter
u_4	e_99	1	voter
u_4	e_112	1	voter
u_4	e_113	1	voter
u_4	e_115	1	voter
u_4	e_118	1	voter
u_4	e_121	1	voter
u_4	e_124	1	voter
u_4	e_134	1	voter
u_4	e_140	1	voter
u_4	e_142	1	voter
u_4	e_154	1	voter
u_4	e_156	1	voter
u_4	e_157	1	voter
u_4	e_161	1	voter
u_5	e_2	1	voter
u_5	e_3	1	voter
u_5	e_4	1	voter
u_5	e_5	1	voter
u_5	e_6	1	voter
u_5	e_7	1	voter
u_5	e_8	1	voter
u_5	e_9	1	voter
u_5	e_11	1	voter
u_5	e_13	1	voter
u_5	e_15	1	voter
u_5	e_16	1	voter
u_5	e_17	1	voter
u_5	e_18	1	voter
u_5	e_19	1	voter
u_5	e_20	1	voter
u_5	e_21	1	voter
u_5	e_22	1	voter
u_5	e_23	1	voter
u_5	e_24	1	voter
u_5	e_99	1	voter
u_5	e_112	1	voter
u_5	e_113	1	voter
u_6	e_2	1	voter
u_6	e_3	1	voter
u_6	e_4	1	candidate
u_6	e_5	1	voter
u_6	e_6	1	voter
u_6	e_7	1	voter
u_6	e_8	1	voter
u_6	e_9	1	voter
u_6	e_11	1	voter
u_6	e_13	1	voter
u_6	e_15	1	voter
u_6	e_16	1	voter
u_6	e_17	1	voter
u_6	e_18	1	voter
u_6	e_19	1	voter
u_6	e_20	1	voter
u_6	e_21	1	voter
u_6	e_22	1	voter
u_6	e_24	1	voter
u_6	e_25	1	voter
u_6	e_26	1	voter
u_6	e_27	1	voter
u_6	e_28	1	voter
u_6	e_29	1	voter
u_6	e_30	1	voter
u_6	e_31	1	voter
u_6	e_32	1	voter
u_6	e_33	1	voter
u_6	e_34	1	voter
u_6	e_35	1	voter
u_6	e_36	1	voter
u_6	e_37	1	voter
u_6	e_38	1	voter
u_6	e_39	1	voter
u_6	e_40	1	voter
u_6	e_41	1	voter
u_6	e_42	1	voter
u_6	e_43	1	voter
u_6	e_44	1	voter
u_6	e_46	1	voter
u_6	e_47	1	voter
u_6	e_48	1	voter
u_6	e_49	1	voter
u_6	e_50	1	voter
u_6	e_51	1	voter
u_6	e_52	1	voter
u_6	e_53	1	voter
u_6	e_54	1	voter
