node_id	type
e_1	election
u_30	user
u_32	user
u_3	user
u_25	user
u_4	user
u_5	user
u_6	user
u_7	user
u_8	user
u_9	user
u_10	user
u_26	user
u_27	user
u_28	user
u_11	user
u_12	user
u_13	user
u_14	user
u_29	user
u_15	user
u_16	user
u_17	user
u_18	user
u_19	user
u_20	user
u_21	user
u_22	user
u_23	user
u_24	user
e_2	election
u_54	user
u_33	user
u_34	user
u_36	user
u_35	user
u_37	user
u_38	user
u_39	user
u_40	user
u_41	user
u_42	user
u_43	user
u_44	user
u_45	user
u_46	user
u_47	user
u_48	user
u_49	user
u_50	user
u_51	user
u_52	user
u_53	user
e_3	election
u_61	user
u_55	user
u_56	user
u_57	user
u_58	user
u_59	user
u_60	user
e_4	election
u_70	user
u_62	user
u_63	user
u_64	user
u_65	user
u_66	user
e_5	election
u_71	user
e_6	election
u_-1	user
u_72	user
u_73	user
u_75	user
u_76	user
u_78	user
u_79	user
u_77	user
u_80	user
u_81	user
u_82	user
e_7	election
u_83	user
u_91	user
u_67	user
u_84	user
u_85	user
u_86	user
u_87	user
u_88	user
u_89	user
u_90	user
e_8	election
u_93	user
u_92	user
u_94	user
e_9	election
u_95	user
u_99	user
u_96	user
u_100	user
u_101	user
u_98	user
e_10	election
u_31	user
u_102	user
u_103	user
u_115	user
u_116	user
u_104	user
u_105	user
u_106	user
u_68	user
u_117	user
u_118	user
u_119	user
u_107	user
u_108	user
u_109	user
u_110	user
u_111	user
u_120	user
u_112	user
u_121	user
u_122	user
u_113	user
u_123	user
u_124	user
u_114	user
u_125	user
e_11	election
u_130	user
u_131	user
u_126	user
u_127	user
u_128	user
u_129	user
e_12	election
u_144	user
u_132	user
u_133	user
u_134	user
u_135	user
u_136	user
u_137	user
u_138	user
u_139	user
u_140	user
u_141	user
u_142	user
u_143	user
e_13	election
u_147	user
u_148	user
u_145	user
u_146	user
e_14	election
u_151	user
u_149	user
u_150	user
e_15	election
u_152	user
u_153	user
u_154	user
u_155	user
u_156	user
u_157	user
u_74	user
e_16	election
u_158	user
u_159	user
u_160	user
u_161	user
e_17	election
u_162	user
e_18	election
u_163	user
e_19	election
u_167	user
u_166	user
u_165	user
e_20	election
u_168	user
u_169	user
e_21	election
u_170	user
e_22	election
u_171	user
u_172	user
e_23	election
u_175	user
u_173	user
u_174	user
e_24	election
u_176	user
e_25	election
u_183	user
u_184	user
u_177	user
u_178	user
u_179	user
u_180	user
u_181	user
u_182	user
e_26	election
u_214	user
u_185	user
u_194	user
u_211	user
u_187	user
u_188	user
u_189	user
u_196	user
u_190	user
u_197	user
u_195	user
u_198	user
u_199	user
u_191	user
u_200	user
u_212	user
u_201	user
u_202	user
u_203	user
u_204	user
u_205	user
u_206	user
u_207	user
u_208	user
u_209	user
u_192	user
u_210	user
u_213	user
e_27	election
u_216	user
u_215	user
e_28	election
u_219	user
u_220	user
u_217	user
u_218	user
e_29	election
u_221	user
u_222	user
u_223	user
u_224	user
u_225	user
u_226	user
u_240	user
u_227	user
