node_id	type
cand_10	candidate
cand_1000	candidate
cand_1006	candidate
cand_1007	candidate
cand_1012	candidate
cand_1014	candidate
cand_1018	candidate
cand_1020	candidate
cand_1022	candidate
cand_1023	candidate
cand_1024	candidate
cand_1026	candidate
cand_1029	candidate
cand_1030	candidate
cand_1031	candidate
cand_1032	candidate
cand_1034	candidate
cand_1035	candidate
cand_1038	candidate
cand_1039	candidate
cand_1043	candidate
cand_1044	candidate
cand_1049	candidate
cand_105	candidate
cand_1053	candidate
cand_1055	candidate
cand_1060	candidate
cand_1061	candidate
cand_1062	candidate
cand_1074	candidate
cand_1075	candidate
cand_1077	candidate
cand_108	candidate
cand_1080	candidate
cand_1092	candidate
cand_1097	candidate
cand_1100	candidate
cand_1103	candidate
cand_1111	candidate
cand_1114	candidate
cand_1123	candidate
cand_1124	candidate
cand_1125	candidate
cand_1127	candidate
cand_1128	candidate
cand_1131	candidate
cand_1137	candidate
cand_1140	candidate
cand_1141	candidate
cand_1144	candidate
cand_1151	candidate
cand_1152	candidate
cand_1154	candidate
cand_1156	candidate
cand_1157	candidate
cand_1159	candidate
cand_1160	candidate
cand_1164	candidate
cand_1165	candidate
cand_1166	candidate
cand_1167	candidate
cand_1168	candidate
cand_1185	candidate
cand_1186	candidate
cand_1190	candidate
cand_1191	candidate
cand_1192	candidate
cand_1193	candidate
cand_1196	candidate
cand_1199	candidate
cand_1200	candidate
cand_1201	candidate
cand_1203	candidate
cand_1211	candidate
cand_1218	candidate
cand_1220	candidate
cand_1221	candidate
cand_1222	candidate
cand_1230	candidate
cand_1232	candidate
cand_1234	candidate
cand_1236	candidate
cand_1239	candidate
cand_1240	candidate
cand_1241	candidate
cand_1243	candidate
cand_1247	candidate
cand_1248	candidate
cand_1250	candidate
cand_1253	candidate
cand_1259	candidate
cand_1260	candidate
cand_1261	candidate
cand_1266	candidate
cand_1267	candidate
cand_127	candidate
cand_1270	candidate
cand_1277	candidate
cand_1279	candidate
cand_1282	candidate
cand_1284	candidate
cand_1285	candidate
cand_1286	candidate
cand_1287	candidate
cand_1291	candidate
cand_1296	candidate
cand_1297	candidate
cand_130	candidate
cand_1300	candidate
cand_1305	candidate
cand_1307	candidate
cand_1310	candidate
cand_1315	candidate
cand_1319	candidate
cand_132	candidate
cand_1321	candidate
cand_1322	candidate
cand_1323	candidate
cand_1326	candidate
cand_1330	candidate
cand_135	candidate
cand_1352	candidate
cand_1353	candidate
cand_1357	candidate
cand_1360	candidate
cand_1372	candidate
cand_1374	candidate
cand_1375	candidate
cand_1377	candidate
cand_1378	candidate
cand_1382	candidate
cand_1384	candidate
cand_1385	candidate
cand_1389	candidate
cand_1390	candidate
cand_1393	candidate
cand_1394	candidate
cand_1396	candidate
cand_140	candidate
cand_1402	candidate
cand_1403	candidate
cand_1407	candidate
cand_1411	candidate
cand_1412	candidate
cand_1413	candidate
cand_1416	candidate
cand_1418	candidate
cand_1419	candidate
cand_1420	candidate
cand_1425	candidate
cand_1428	candidate
cand_1432	candidate
cand_1435	candidate
cand_1437	candidate
cand_1439	candidate
cand_144	candidate
cand_1441	candidate
cand_1442	candidate
cand_1444	candidate
cand_1446	candidate
cand_1453	candidate
cand_1464	candidate
cand_1465	candidate
cand_1468	candidate
cand_147	candidate
cand_1471	candidate
cand_1472	candidate
cand_1473	candidate
cand_1476	candidate
cand_1478	candidate
cand_1482	candidate
cand_1484	candidate
cand_1485	candidate
cand_1486	candidate
cand_1487	candidate
cand_1489	candidate
cand_1490	candidate
cand_1492	candidate
cand_1493	candidate
cand_1496	candidate
cand_1497	candidate
cand_1498	candidate
cand_15	candidate
cand_150	candidate
cand_1501	candidate
