source	target	weight	roles
u_25	e_26	1	voter
u_25	e_29	1	voter
u_25	e_112	1	voter
u_25	e_113	1	voter
u_25	e_154	1	voter
u_25	e_193	1	voter
u_25	e_199	1	voter
u_25	e_225	1	voter
u_25	e_253	1	voter
u_25	e_254	1	voter
u_25	e_311	1	voter
u_25	e_315	1	voter
u_25	e_342	1	voter
u_25	e_392	1	voter
u_6	e_26	1	voter
u_6	e_29	1	voter
u_6	e_113	1	voter
u_6	e_199	1	voter
u_6	e_225	1	voter
u_6	e_253	1	voter
u_6	e_254	1	voter
u_6	e_265	1	voter
u_6	e_287	1	voter
u_6	e_295	1	voter
u_6	e_315	1	voter
u_6	e_342	1	voter
u_6	e_389	1	voter
u_6	e_392	1	voter
u_6	e_397	1	voter
u_6	e_430	1	voter
u_6	e_446	1	voter
u_6	e_460	1	voter
u_6	e_521	1	voter
u_6	e_543	1	voter
u_6	e_585	1	voter
u_6	e_588	1	voter
u_6	e_618	1	voter
u_6	e_643	1	voter
u_6	e_649	1	voter
u_6	e_682	1	voter
u_6	e_776	1	voter
u_6	e_1052	1	voter
u_6	e_1224	1	voter
u_6	e_1684	1	voter
u_6	e_2274	1	voter
u_6	e_2279	1	voter
u_6	e_2284	1	voter
u_6	e_2286	1	voter
u_6	e_2288	1	voter
u_6	e_2329	1	voter
u_6	e_2520	1	voter
u_8	e_26	1	voter
u_8	e_29	1	voter
u_8	e_112	1	voter
u_8	e_113	1	voter
u_8	e_154	1	voter
u_8	e_193	1	voter
u_8	e_199	1	voter
u_8	e_214	1	voter
u_8	e_225	1	voter
u_8	e_253	1	voter
u_8	e_254	1	voter
u_8	e_311	1	voter
u_8	e_643	1	voter
u_8	e_649	1	voter
u_9	e_26	1	voter
u_9	e_29	1	voter
u_9	e_112	1	voter
u_9	e_113	1	voter
u_9	e_193	1	voter
u_9	e_225	1	voter
u_9	e_253	1	voter
u_9	e_254	1	voter
u_9	e_342	1	voter
u_9	e_521	1	voter
u_9	e_595	1	voter
u_9	e_616	1	voter
u_9	e_627	1	voter
u_9	e_643	1	voter
u_9	e_862	1	voter
u_10	e_26	1	voter
u_10	e_29	1	voter
u_10	e_193	1	voter
u_10	e_199	1	voter
u_10	e_649	1	voter
u_26	e_26	1	voter
u_26	e_29	1	voter
u_26	e_113	2	nominator,voter
u_26	e_193	1	voter
u_27	e_29	1	voter
u_27	e_113	1	voter
u_27	e_154	1	voter
u_27	e_1548	1	voter
u_27	e_1554	1	voter
u_27	e_1558	1	voter
u_27	e_1601	1	voter
u_27	e_1682	1	voter
u_27	e_1711	1	voter
u_27	e_1716	1	voter
u_27	e_1758	1	voter
u_27	e_1763	1	voter
u_27	e_1784	1	voter
u_27	e_1826	1	voter
u_27	e_1839	1	voter
u_27	e_1876	1	voter
u_27	e_1934	1	voter
u_27	e_1955	1	voter
u_27	e_1989	1	voter
u_27	e_2148	1	voter
u_27	e_2482	1	voter
u_28	e_26	1	voter
u_28	e_29	1	candidate
u_28	e_112	1	voter
u_28	e_113	1	voter
u_28	e_154	1	voter
u_28	e_193	1	voter
u_28	e_199	1	voter
u_28	e_225	1	voter
u_28	e_253	1	voter
u_28	e_254	1	voter
u_28	e_287	1	voter
u_28	e_295	1	voter
u_28	e_342	1	voter
u_28	e_343	1	voter
u_28	e_392	1	voter
u_28	e_397	1	voter
u_28	e_492	1	voter
u_28	e_499	1	voter
u_28	e_801	1	voter
u_11	e_26	1	voter
u_11	e_29	1	voter
