node_id	x1	x2	x3
e_1	0	0	1
u_30	1	0	0
u_32	1	0	0
u_3	0	0	1
u_25	0	1	0
u_4	1	0	0
u_5	1	0	0
u_6	1	0	0
u_7	0	0	1
u_8	1	0	0
u_9	0	0	1
u_10	0	0	1
u_26	0	0	1
u_27	1	0	0
u_28	0	0	1
u_11	0	1	0
u_12	1	0	0
u_13	1	0	0
u_14	1	0	0
u_29	1	0	0
u_15	1	0	0
u_16	0	0	1
u_17	0	0	1
u_18	1	0	0
u_19	0	0	1
u_20	1	0	0
u_21	0	0	1
u_22	0	0	1
u_23	0	0	1
u_24	0	0	1
e_2	0	1	0
u_54	1	0	0
u_33	0	1	0
u_34	0	0	1
u_36	0	1	0
u_35	1	0	0
u_37	1	0	0
u_38	0	0	1
u_39	0	1	0
u_40	0	1	0
u_41	0	1	0
u_42	1	0	0
u_43	1	0	0
u_44	0	1	0
u_45	1	0	0
u_46	1	0	0
u_47	0	1	0
u_48	1	0	0
u_49	0	1	0
u_50	0	1	0
u_51	0	0	1
u_52	0	1	0
u_53	1	0	0
e_3	0	0	1
u_61	0	1	0
u_55	0	0	1
u_56	1	0	0
u_57	0	1	0
u_58	1	0	0
u_59	0	0	1
u_60	0	1	0
e_4	0	0	1
u_70	0	0	1
u_62	0	1	0
u_63	0	0	1
u_64	1	0	0
u_65	0	0	1
u_66	1	0	0
e_5	1	0	0
u_71	0	0	1
e_6	1	0	0
u_-1	0	1	0
u_72	1	0	0
u_73	1	0	0
u_75	1	0	0
u_76	0	1	0
u_78	0	1	0
u_79	0	1	0
u_77	0	0	1
u_80	0	1	0
u_81	1	0	0
u_82	0	1	0
e_7	0	1	0
u_83	1	0	0
u_91	0	0	1
u_67	0	1	0
u_84	0	0	1
u_85	0	0	1
u_86	0	0	1
u_87	1	0	0
u_88	0	0	1
u_89	0	0	1
u_90	1	0	0
e_8	0	0	1
u_93	0	0	1
u_92	1	0	0
u_94	1	0	0
e_9	0	1	0
u_95	0	1	0
u_99	0	1	0
u_96	0	0	1
u_100	0	0	1
u_101	0	0	1
u_98	1	0	0
e_10	0	0	1
u_31	0	1	0
u_102	1	0	0
u_103	1	0	0
u_115	1	0	0
u_116	0	1	0
u_104	0	1	0
u_105	0	1	0
u_106	1	0	0
u_68	1	0	0
u_117	0	0	1
u_118	0	0	1
u_119	0	1	0
u_107	1	0	0
u_108	0	0	1
u_109	0	1	0
u_110	0	1	0
u_111	0	0	1
u_120	0	1	0
u_112	1	0	0
u_121	0	1	0
u_122	1	0	0
u_113	1	0	0
u_123	0	0	1
u_124	0	0	1
u_114	0	0	1
u_125	0	1	0
e_11	0	0	1
u_130	0	0	1
u_131	0	1	0
u_126	0	0	1
u_127	0	1	0
u_128	0	1	0
u_129	1	0	0
e_12	1	0	0
u_144	0	0	1
u_132	0	1	0
u_133	1	0	0
u_134	1	0	0
u_135	1	0	0
u_136	1	0	0
u_137	0	0	1
u_138	1	0	0
u_139	0	0	1
u_140	0	1	0
u_141	0	0	1
u_142	1	0	0
u_143	0	1	0
e_13	0	1	0
u_147	0	0	1
u_148	0	1	0
u_145	0	0	1
u_146	0	1	0
e_14	0	0	1
u_151	1	0	0
u_149	0	0	1
u_150	0	0	1
e_15	1	0	0
u_152	0	0	1
u_153	0	0	1
u_154	0	1	0
u_155	0	0	1
u_156	0	1	0
u_157	1	0	0
u_74	0	1	0
e_16	0	1	0
u_158	1	0	0
u_159	0	1	0
u_160	1	0	0
u_161	0	0	1
e_17	0	0	1
u_162	0	1	0
e_18	0	0	1
u_163	1	0	0
e_19	0	0	1
u_167	1	0	0
u_166	0	0	1
u_165	0	1	0
e_20	0	0	1
u_168	0	0	1
u_169	0	0	1
e_21	1	0	0
u_170	1	0	0
e_22	0	1	0
u_171	1	0	0
u_172	0	0	1
e_23	0	0	1
u_175	1	0	0
u_173	0	0	1
u_174	0	1	0
e_24	0	1	0
u_176	1	0	0
e_25	1	0	0
u_183	0	1	0
u_184	0	1	0
u_177	1	0	0
u_178	1	0	0
u_179	1	0	0
u_180	0	0	1
u_181	1	0	0
u_182	1	0	0
e_26	0	0	1
u_214	0	1	0
u_185	1	0	0
u_194	0	0	1
u_211	1	0	0
u_187	1	0	0
u_188	0	0	1
u_189	0	1	0
u_196	0	0	1
u_190	1	0	0
u_197	0	1	0
u_195	0	0	1
u_198	0	0	1
u_199	0	1	0
u_191	1	0	0
u_200	0	0	1
u_212	0	0	1
u_201	0	0	1
u_202	1	0	0
u_203	0	0	1
u_204	0	1	0
u_205	0	1	0
u_206	0	0	1
u_207	0	0	1
u_208	0	1	0
u_209	0	1	0
u_192	0	0	1
u_210	0	1	0
u_213	1	0	0
e_27	1	0	0
u_216	1	0	0
u_215	1	0	0
e_28	0	1	0
u_219	1	0	0
u_220	0	0	1
u_217	0	0	1
u_218	1	0	0
e_29	0	0	1
u_221	1	0	0
u_222	1	0	0
u_223	1	0	0
u_224	0	0	1
u_225	0	0	1
u_226	1	0	0
u_240	1	0	0
u_227	1	0	0
u_228	1	0	0
u_242	0	1	0
u_243	1	0	0
u_244	0	0	1
u_245	1	0	0
u_246	0	1	0
u_249	0	0	1
u_247	0	1	0
u_230	1	0	0
u_231	0	0	1
u_232	1	0	0
u_233	0	0	1
u_234	0	0	1
u_235	0	0	1
u_236	0	1	0
u_237	1	0	0
u_241	0	1	0
u_248	0	1	0
u_238	1	0	0
u_239	1	0	0
e_30	1	0	0
u_250	0	0	1
e_31	0	1	0
u_252	0	1	0
e_32	0	1	0
u_257	0	1	0
u_253	0	1	0
u_254	0	0	1
u_255	1	0	0
u_256	0	0	1
e_33	0	0	1
u_261	0	0	1
u_262	1	0	0
u_258	1	0	0
u_260	0	1	0
u_259	0	0	1
e_34	0	1	0
u_271	1	0	0
u_263	1	0	0
u_264	1	0	0
u_265	1	0	0
u_266	0	0	1
u_267	0	1	0
u_268	1	0	0
u_269	0	1	0
u_270	1	0	0
e_35	0	1	0
u_273	0	1	0
e_36	1	0	0
u_274	1	0	0
u_279	0	1	0
u_276	0	0	1
u_277	1	0	0
u_278	1	0	0
u_275	0	0	1
e_37	0	0	1
u_280	1	0	0
u_282	1	0	0
u_283	1	0	0
